line_id,at_doc,vendor_document_number,amount,category,coa,coa_name,description,load_link
76b03537-d2e5-4b63-b986-77ba800f6ce0,,fuel-99456225-116404,1164.04,DIESEL,5000,Fuel & Diesel,Fuel · load 13537 · Jorge Luis Infante Corona · T177 · 198 gal · LOVES · Dreamli,linked
13b5c2c9-6188-4e5a-bb5c-c3e3b5b5eb96,,ATGTx5774-6-108480,1084.80,TIRES,5400,Truck Repairs & Maintenance,ATGTx settl 5774 #6 $1084.80 load 13517 inv none,exempt
5152d2f3-bae8-46bf-9796-b7a591ef8124,,fuel-99454237-107512,1075.12,DIESEL,5000,Fuel & Diesel,Fuel · load 13535 · Jorge Luis Infante Corona · T177 · 182.564 gal · LOVES · Dre,linked
2a0479cc-96e9-4686-be80-18c7fdc4c58a,,e22-fuel-99975493-106644,1066.44,DIESEL,5000,Fuel & Diesel,Fuel · load 13512 · PEDRO ABRAHAM LOPEZ COLLADO · T152 · 199 gal · FLYING · Drea,linked
d8220fb4-dea5-4f45-8669-69c5bc86be9c,,e22-fuel-99444242-105782,1057.82,DIESEL,5000,Fuel & Diesel,Fuel · load 13510 · Jorge Luis Infante Corona · T177 · 190.632 gal · LOVES · Dre,linked
0ca3c0ac-9f5c-463a-b36b-a87d27bcca19,,fuel-13560-99496951-103122,1031.22,DIESEL,5000,Fuel & Diesel,Fuel · load 13560 · HUGO GAYTAN · T173 · 184.509 gal · LOVES · Dreamline,linked
7ec42114-f8ac-4394-af65-45594c16f015,,fuel-99450055-103056,1030.56,DIESEL,5000,Fuel & Diesel,Fuel · load 13521 · Jorge Luis Infante Corona · T177 · 180.199 gal · LOVES · Dre,linked
275a99cf-5b56-431c-b9cb-4c2fe899d52a,,fuel-13542-99530096-102102,1021.02,DIESEL,5000,Fuel & Diesel,Fuel · load 13542 · Leonel Antonio Morales · T175 · 184.001 gal · LOVES · Dreaml,linked
460f48bd-2574-4e48-b408-7b9c64d18d7f,,fuel-99448116-102007,1020.07,DIESEL,5000,Fuel & Diesel,Fuel · load 13519 · Jorge Luis Infante Corona · T177 · 179.306 gal · LOVES · Dre,linked
1a299790-c816-46eb-a891-11cae1df3ea9,,fuel-13547-99493735-101297,1012.97,DIESEL,5000,Fuel & Diesel,Fuel · load 13547 · GENARO GUERRERO CHAVEZ · T152 · 181.244 gal · LOVES · Dreaml,linked
2ef800d0-2afe-4527-8fdb-429cc1db75c8,,fuel-99822323-101153,1011.53,DIESEL,5000,Fuel & Diesel,Fuel · load 13515 · Leonel Antonio Morales · T175 · 187.009 gal · LOVES · Dreaml,linked
05f59152-59d0-4376-9cc0-2ad442f94ccc,,fuel-99090868-100285,1002.85,DIESEL,5000,Fuel & Diesel,Fuel · load 13536 · JOSE ANTONIO VICENTE MARTINEZ · T171 · 174.439 gal · LOVES ·,linked
e3a7d72b-8740-40aa-9850-f7f526c3a93e,,fuel-13566-99143243-96700,967.00,DIESEL,5000,Fuel & Diesel,Fuel · load 13566 · Neftali Coronado Urbano · T176 · 165.327 gal · LOVES · Dream,linked
6d719c24-efa3-4706-9df5-22272d375eb2,,fuel-99121316-96287,962.87,DIESEL,5000,Fuel & Diesel,Fuel · load 13518 · JOSE ANTONIO VICENTE MARTINEZ · T171 · 180.01 gal · LOVES · ,linked
987a61d5-4ac8-45b8-88c3-126112834689,,fuel-13565-99530122-95715,957.15,DIESEL,5000,Fuel & Diesel,Fuel · load 13565 · Neftali Coronado Urbano · T176 · 172.491 gal · LOVES · Dream,linked
ed27819d-9099-454b-8c1a-247cf026d576,,fuel-13559-99378673-94027,940.27,DIESEL,5000,Fuel & Diesel,Fuel · load 13559 · GENARO GUERRERO CHAVEZ · T152 · 171.3 gal · LOVES · Dreamlin,linked
14626907-e8ca-4995-b767-19a43303f29d,,fuel-13545-99461047-92119,921.19,DIESEL,5000,Fuel & Diesel,Fuel · load 13545 · HUGO GAYTAN · T173 · 160.235 gal · LOVES · Dreamline,linked
24381734-4d72-41e3-8212-22fef9868be6,,fuel-99554605-89233,892.33,DIESEL,5000,Fuel & Diesel,Fuel · load 13543 · GENARO GUERRERO CHAVEZ · T152 · 157.962 gal · LOVES · Dreaml,linked
f8639c31-0f2d-46cd-b45b-dfbe01c0a602,,fuel-13550-99530124-87323,873.23,DIESEL,5000,Fuel & Diesel,Fuel · load 13550 · Jorge Luis Infante Corona · T177 · 157.367 gal · LOVES · Dre,linked
f20f4b30-2935-4ad7-9c58-a6363025e42a,,fuel-13558-99602755-87201,872.01,DIESEL,5000,Fuel & Diesel,Fuel · load 13558 · JOSE ANTONIO VICENTE MARTINEZ · T171 · 157.147 gal · LOVES ·,linked
2749f1f2-6d90-4296-b6f4-27cde8c13ed7,,fuel-13550-99460605-85522,855.22,DIESEL,5000,Fuel & Diesel,Fuel · load 13550 · Jorge Luis Infante Corona · T177 · 148.502 gal · LOVES · Dre,linked
